"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_last_10"
"Bwkz1ddKoGE8hgiSV6HZLXi9RBLqfBi3HZb2QujzVGgz",0,216,100,10000,230007
"34yvUa2fxfm2tUqxFEj9PHrVNwCcdzd51eo9hntWpZRs",10,184,0,800,229337
"AnodeNCzJGQ7QwheFqJr6EknKGa72m6XHiLtDQiXcmEc",0,121,0,1000,229194
"Eajfs6oXGGkvjYsxkQZZJcDCLLkUajaHizfgg2xTsqyd",0,162,0,10000,229190
"2iWXwF2Q5W6o7yntV2mkbxncB4rYHnX61y3NU8a8EFMJ",0,146,0,1000,229161
"9jVU1ET9Xxqnrsqjw8FGxmHgcXs6Hbj1HECckWqn2LUD",0,124,100,10000,229110
"GaxxAn5335dA4U3772MCFeqdyqCVEfmsQTQ47YXfC2Xi",0,151,0,1000,229096
"4AUED4uj6nSTuANzaAUnGBPJQRmhpDYDwoWJNkoUUBBW",10,56,4,800,229019
"tri1cHBy47fPyhCvrCf6FnR7Mz6XdSoSBah2FsZVQeT",9,142,0,1000,228731
"i6PZjkPHGYmPfPE8LsJuLn5huZyusXhmysiDiHGPjxb",0,216,0,1000,227381
"GA2t11gJcmuZ4y7pShTzgYDkxVaJaVQJqkVUqojhPPsT",10,216,0,500,227223
"StakeyJXE1yJbEApBVswHN4JdZXcj7V5MHbzffa4dFp",10,67,5,800,226900
"3zEbnWKibg574DaGC1EA3zLNwBK6MGQxEySUgQWKBaYV",0,217,0,1000,226473
"BK5Km4MyuncoBWKCM9y3zntA1JjhdqNcHd3mxitms4Xo",10,216,0,0,225937
"BCRg6hEiLbrdgaTUbUbuz8deDcbyCgP37fCBMGqNhhq7",0,216,0,1000,225328
"7emL18Bnve7wbYE9Az7vYJjikxN6YPU81igf6rVU5FN8",10,217,0,200,221859
"3uvqr8aX2fS3W9XHdud5avRGbUtY9uswBGmr9S2N7uF2",0,216,0,1000,220378
"HiLaiF6HAUL2kYBsHcVb3CDws9c3dEphtfPbzDnKYFYB",0,214,0,1000,220361
"Luna8BkZNpZ9DKmszrZYPvFpTr4eJJfxxTnGDwTrYkv",10,117,0,0,220209
"JokeruQoFrVevoPR5QBRPGncPQbtrpq3PJEcY22JefC",0,217,5,1000,219033
"AAhcGqPdM9WdjhVH6T4vAQLvoDFrYQqirkxCdvxoKhgp",0,215,0,1000,217964
"eondcw2upjH14EuvBzmn6HfGEGo8t9hG9JbXtPj6cym",0,214,0,1000,217488
"AddV9GtVTtepbNa7MBNDx81wTMRgnXf8nzhRuyinVab5",0,215,0,1000,217363
"QhyTEHb5JkMBki8Lq1npsaixefUyMXWJtbxK6jNjxnn",0,125,100,10000,217338
"Simpj3KyRQmpRkXuBvCQFS7DBBG6vqw93SkZb9UD1hp",0,216,0,1000,217252
"4tuMshQNpAFpy1YtEHnSsE5EPN1mAT8FevWvn2UPJHNM",0,217,0,1000,217090
"FnAPJkzf19s87sm24Qhv6bHZMZvZ43gjNUBRgjwXpD4v",10,216,0,800,216772
"5iZ5PQPy5Z9XDnkfoWPi6nvUgtxWnRFwZ36WaftPuaVM",0,217,0,1000,216156
"21wUViiyG1g47VZ39ZZsSkFX9nu6bkyfy6jryHGD2TUB",0,131,0,1000,215856
"NipDoZC37aMQvv2fFq2moUyyiApQxszc7X4mvWHP2pZ",0,216,0,1000,214378
"7X7oVv6K6wawMNzVriczSAEk18GzqyrYrvqyJbwLAY3s",0,216,0,1000,213611
"9vNLTLdwAdHw8EdiZrLzDtUpm3hp7E2MGaNi6SmdfBGz",0,217,0,1000,213195
